"American Bulldog",3,0,0
"Plott Hound",0,0,0
"Alaskan Klee Kai",0,0,0
Bullmastiff,3,3,3
"Shih Tzu",5,3,3
Pomeranian,3,3,3
Greyhound,3,3,3
"Chow Chow",3,2,3
"Chinese Shar-Pei",3,3,3
"Cocker Spaniel",5,4,3
"Great Pyrenees",3,3,3
Newfoundland,5,5,3
"Basset Hound",5,3,3
Maltese,3,3,3
Akita,3,2,3
Bloodhound,3,3,3
Komondor,3,3,3
Otterhound,3,4,3
Beauceron,3,2,3
"Shiba Inu",3,3,3
"Afghan Hound",3,3,3
Chinook,5,3,3
Basenji,3,3,3
"Field Spaniel",5,4,3
"Japanese Chin",3,3,3
"American Eskimo Dog",5,5,3
"American Hairless Terrier",5,3,3
"American Leopard Hound",5,3,3
"American Water Spaniel",3,3,3
"Anatolian Shepherd Dog",3,1,3
Barbet,5,3,3
"Bergamasco Sheepdog",3,3,3
"Berger Picard",3,3,3
Boerboel,4,3,3
Borzoi,3,3,3
"Bracco Italiano",4,3,3
"Cane Corso",3,3,3
"Tibetan Mastiff",3,1,3
"Rhodesian Ridgeback",5,3,3
Jindo,3,3,3
"Irish Terrier",5,3,3
"Cavalier King Charles Spaniel",5,4,3
"Alaskan Malamute",3,3,3
"Australian Cattle Dog",3,3,3
"Belgian Malinois",3,3,3
"American Staffordshire Terrier",3,4,3
"Golden Retriever",5,5,4
Dachshund,3,4,4
"Great Dane",3,3,4
Boxer,5,4,4
Dalmatian,3,4,4
Beagle,5,3,4
"Cardigan Welsh Corgi",4,4,4
"Bernese Mountain Dog",5,4,4
"Bull Terrier",3,4,4
"German Longhaired Pointer",5,4,4
"Bichon Frise",5,5,4
Chihuahua,1,2,4
Rottweiler,3,3,4
"Treeing Walker Coonhound",5,3,4
"Giant Schnauzer",3,3,4
"Norfolk Terrier",5,5,4
Brittany,4,3,4
"Doberman Pinscher",5,4,4
Pekingese,3,3,4
Whippet,5,3,4
Bolognese,3,3,4
"Smooth Fox Terrier",3,3,4
"Coton de Tulear",5,5,4
Pumi,3,3,4
Xoloitzcuintli,3,3,4
Schipperke,3,3,4
"Russian Toy",3,3,4
"Italian Greyhound",3,5,4
Hovawart,4,4,4
"Miniature Pinscher",3,3,4
"Staffordshire Bull Terrier",5,4,4
"Australian Shepherd",5,3,4
"Pembroke Welsh Corgi",3,4,4
"Yorkshire Terrier",5,5,4
"Labrador Retriever",5,5,5
"Poodle (Miniature)",5,5,5
"Border Collie",3,4,5
"Siberian Husky",5,5,5
"West Highland White Terrier",5,4,5
Pug,5,5,5
"Boston Terrier",5,5,5
Vizsla,5,4,5
"Shetland Sheepdog",5,2,5
"Irish Setter",5,5,5
Havanese,5,5,5
Keeshond,5,5,5
Papillon,5,5,5
Samoyed,5,5,5
"Nova Scotia Duck Tolling Retriever",5,3,5
Mudi,3,3,5
"French Bulldog",5,5,5
